	RQ1. Symptoms				RQ2. Causes		RQ3. Repairs		RQ4. Impacts
GEODE-6740	This resulted in the error starting up the locators	1. Crash	none	none	"The membership service prefers to use numeric host addresses in order to avoid using DNS, which can hang if there is a network failure.  Use of host names can be forced with the system property

-Dgemfire.forceDnsUse=true."	4.5 Problems in the network	"It looks like `-Dgemfire.forceDnsUse=true` only affects hostname resolution in the InternalDistributedMember.  On a closer look, it appears the IP address which needs reverse lookup is coming from a ServerLocation object which is part of profile creation, and it is not affected by this flag.  I'll post more details about this as I find them."	2.4 Repairing as technical debts	
GEODE-5410	Throw KeyNotFoundException occurs when using MSTest with NativeClient	1. Crash	none	none	try disabling app domains in XUnit.	4.4 Incorrect techniques	try disabling app domains in XUnit.	3.4 Modifying the settings of libraries	
GEODE-2412	Builds are failing in pipeline due to SSL locator tests failing.	3. Build and testing error	GEODE-1793	REOPENED	"I haven't figured out the
cause yet. Ignore it until I have time to fix it properly."	2.3 Flaky problems	"Ignore the test for now.
Closing this ticket, reopened the original to find a proper fix."	1.2 Unfixed problems	
GEODE-2151	"I was getting the following error while running the unit tests:

org.apache.geode.internal.cache.partitioned.PartitionedRegionLoadModelJUnitTest > testRedundancySatisfactionPreferRemoteIp FAILED
    java.lang.AssertionError:"	3. Build and testing error	none	none	the workaround can cause issues with local servers not finding your canonical hostname.	2.1 Flawed repairs	"My `/etc/hosts` file had the following line:

127.0.0.1 localhost gosullivan-mbpro
Changing it to this fixed the problem:

127.0.0.1 localhost
255.255.255.255 broadcasthost
::1             localhost"	4.1 Modifying operating systems	https://geode.apache.org/docs/guide/110/tools_modules/gfsh/configuring_gfsh.html
FREEMARKER-87	"I'm using struts2, use FriendlyMapModel instead of default MapModel, It works fine except map have key such as ""size"", the value will be unexpected SimpleMethodModel"	2. Unexpected behavior	none	none	" Just don't use it. It can't be fixed, as that breaks backward compatibility."	2.2 Incompatible issues	I recommend extending one of those	3.5 Overridden APIs	https://javadoc.io/static/org.apache.struts/struts2-core/2.1.8.1/org/apache/struts2/views/freemarker/StrutsBeanWrapper.FriendlyMapModel.html
FOP-2726	 getting NullPointerException	1. Crash	none	none	we analysed and found to be an issue with this file: ${JAVA_HOME}/jre/lib/cmm/sRGB.pf file.	3.1 Problems in my libraries	I solved this issue on tomcat server by specifying the lookup path for these files via the sysprop: java.iccprofile.path.	2.3 Modifying build files or options	
FLINK-7274	Caused by: org.apache.flink.api.common.io.ParseException	1. Crash	FLINK-7050	Unresolved	"So, from my point of view this is expected behavior.

In my opinion, it isn't expected behaviour

The CsvInputFormat was never designed to adhere to the RFC specification. "	2.2 Incompatible issues	A workaround would be to read the quoted doubles as String and later convert them to double.	3.9 Modifying API calls	
FLINK-5946	"Kinesis Producer uses KPL that orphans threads that consume 100% CPU
"	6. Performance issue	none	none	"This issue is rooted in the Amazon Kinesis Producer Library (KPL) that the Flink Kinesis streaming connector depends upon.

The fix for this issue is included in release `0.12.4` of the AWS KPL, released 2 days ago (May 17, 2017). Anyone affected by this issue can use version `0.12.4` of the KPL. Marking this issue as closed."	"3.1 Problems in my libraries
1.2 Fixed by newer versions"	"The fix for this issue is included in release `0.12.4` of the AWS KPL, released 2 days ago (May 17, 2017). Anyone affected by this issue can use version `0.12.4` of the KPL."	3.3 Switching to newer versions	
FLINK-5898	java.lang.RuntimeException:	1. Crash	none	none	"The Flink Kinesis streaming-connector uses the Amazon Kinesis Producer Library (KPL) to send messages to Kinesis streams. 

The KPL tries to prevent multiple processes from extracting the binary at the same time by wrapping the operation in a mutex. Unfortunately, this does not prevent multiple Flink cores from trying to perform this operation at the same time. If two or more processes attempt to do this at the same time, then the native binary in /tmp will be corrupted."	3.1 Problems in my libraries	"The fix for this issue is included in release `0.12.4` of the AWS KPL, released 2 days ago (May 17, 2017). Anyone affected by this issue can use version `0.12.4` of the KPL. "	3.3 Switching to newer versions	
FLINK-5673	java.lang.NullPointerException	1. Crash	none	none	This is directly caused by the JobManager's local mode which is covered by FLINK-6487.	1.1 Fixed by related issues	This is directly caused by the JobManager's local mode which is covered by FLINK-6487.	1.1 Fixed problems	
FLINK-5633	I¡¯m running a job on my local cluster and the first time I submit the job everything works but whenever I cancel and re-submit the same job it fails 	3. Build and testing error	none	none	"When you see an exception in the style com.foo.X cannot be cast to com.foo.X, it means that multiple versions of the class com.foo.X have been loaded by different class loaders, and types of that class are attempted to be assigned to each other."	2.7 Problems in settings	I fixed the issue by not using the SpecificData.INSTANCE singleton (even though this is considered a common and expected practice). I feed every parser a new instance of SpecificData. This way the class cache is confined to a parser instance 	3.9 Modifying API calls	https://flink.apache.org/gettinghelp.html#i-see-a-classcastexception-x-cannot-be-cast-to-x
FLINK-12462	 I get a: java.lang.ClassNotFoundException	1. Crash	none	none	I think there is nothing we can do because Scala is breaking binary compatibility between minor versions.	4.2 Problems in languages	It works when changing the Flink version to 1.7.2. 	3.2 Switching to older versions	
FLINK-11641	flink seems to be stuck	"4. Hang

"	none	none	"adding memory at `flink-conf.yaml`
`taskmanager.heap.size: 4096m`
`jobmanager.heap.size: 2048m`"	2.7 Problems in settings	"I did solve it by adding memory 
`taskmanager.heap.size: 4096m`
`jobmanager.heap.size: 2048m`"	2.2 Modifying my settings	
FLINK-10960	"I started seeing the following error killing the job whenever a match was detected:

java.lang.RuntimeException"	1. Crash	none	none	"t's tricky to provide the example

but I haven't managed to recreate the error locally"	2.3 Flaky problems	I think we should add a disclaimer in the documentation which operations will result in state incompatibility.	2.1 Modifying documents	
FLEX-35363	"BUILD FAILED
C:\bin\apache-flex-sdk-4.16.0\installer.xml:351: The following error occurred while executing this line:
C:\bin\apache-flex-sdk-4.16.0\installer.xml:371: The following error occurred while executing this line:
C:\bin\apache-flex-sdk-4.16.0\installer.xml:891: The following error occurred while executing this line:
C:\bin\apache-flex-sdk-4.16.0\installer.xml:916: The following error occurred while executing this line:
C:\bin\apache-flex-sdk-4.16.0\installer.xml:923: The following error occurred while executing this line:
C:\bin\apache-flex-sdk-4.16.0\installer.xml:963: java.net.ConnectException: Connection timed out: connect"	3. Build and testing error	https://issues.apache.org/jira/secure/attachment/12893729/flex_install.log	none	"direct download was successful !

So it was likely my companies firewall."	4.5 Problems in the network	Can you click on that url and see if it's download: http://ftp.ps.pl/pub/apache/flex/4.16.1/binaries/apache-flex-sdk-4.16.1-bin.zip	2.3 Modifying build files or options	
FLEX-35309	Google Maps does not work	2. Unexpected behavior	none	none	"WebKit in AIR is so far out of date that I suspect that many major libraries are starting to have issues because they've dropped support for other browsers from that era. Apparently, it's too much work to constantly update WebKit with Adobe's internal changes."	3.1 Problems in my libraries	I did some research and found https://github.com/tuarua/WebViewANE which does just that - a fully integrated Chrome browser in an ANE.	3.1 Switching to other libraries	
FLEX-34754	The Spark VideoPlayer/VideoDisplay components do not display video.	2. Unexpected behavior	none	none	"Switching to Flex SDK 4.10 or older immediately resolves the problem. This bug can be replicated using Flex SDK 4.11, 4.12, 4.12.1, 4.13 and 4.14. "	2.4 Recurring problems	One workaround is to use old version of osmf.swf.	3.2 Switching to older versions	
FLEX-34733	Missing file in SDK (Prevents Compilation)	3. Build and testing error	none	none	After Installing Flex 4.14.0 w/Air 16 a file is missing	4.3 Problems in languages	Simple fix in the mean time is to simply copy that file from a Air 15 installation	2.3 Modifying build files or options	
FINERACT-235	"Expected result:
It should not collect any interest if the foreclosed date is same as disbursement date.
Actual result:
It is collecting one month interest."	2. Unexpected behavior	none	none	 if the foreclosed date is same as disbursement date.	2.5 Borderline cases	Work around is to  waive interest before closing it. 	3.9 Modifying API calls	
DRILL-6906	File permissions are not being honored	5. Security threat	none	none	" below variable was expected to be set in drill-env.sh for impersonation to work:

export MAPR_IMPERSONATION_ENABLED=${MAPR_IMPERSONATION_ENABLED:-""true""}"	2.7 Problems in settings	" below variable was expected to be set in drill-env.sh for impersonation to work:

export MAPR_IMPERSONATION_ENABLED=${MAPR_IMPERSONATION_ENABLED:-""true""}"	2.2 Modifying my settings	
DRILL-4177	"Node ran out of Heap memory, exiting.java.lang.OutOfMemoryError: GC overhead limit exceeded"	1. Crash	none	none	"Adding configuration properties ?useCursorFetch=true&defaultFetchSize=10000 [1] helps to solve OOM

Fetch size can be adjusted.

[1] https://dev.mysql.com/doc/connector-j/5.1/en/connector-j-reference-configuration-properties.html
[2] https://dev.mysql.com/downloads/connector/j/"	3.1 Problems in my libraries	"Adding configuration properties ?useCursorFetch=true&defaultFetchSize=10000 [1] helps to solve OOM

Here is some guidelines:
1. Before setting up storage plugin for MySql "	3.4 Modifying the settings of libraries	
DRILL-4171	"Node ran out of Heap memory, exiting.
java.lang.OutOfMemoryError: GC overhead limit exceeded"	1. Crash	DRILL-4177	RESOLVED	Problems seems the same as indicated in Jira DRILL-4177. Please take a look at comment in DRILL-4177 about adding configuration properties to enable batch read from MySql.	1.1 Fixed by related issues	Problems seems the same as indicated in Jira DRILL-4177. Please take a look at comment in DRILL-4177 about adding configuration properties to enable batch read from MySql.	3.4 Modifying the settings of libraries	
DIRSTUDIO-1173	The connection failed 	1. Crash	none	none	"if I use the ""Apache Directory LDAP Client API"" Provider instead of JNDI, it works! 

The difference is that JNDI is antiquated, dead in the water, and crappy."	4.4 Incorrect techniques.	"Switching from JNDI to the ""Apache Directory LDAP Client API"" solves this for us."	4.3 Switching to other techniques	
DIRSTUDIO-1143	"Stack trace when saving configuration

Caused by: java.lang.NullPointerException"	1. Crash	none	none	"The reason for this error is that in the config you attached the entries for the non-LDAP servers (ads-serverId=[changePassword|http|kerberos]Server,ou=servers,ads-directoryServiceId=default,ou=config) are missing

A second problem: You custom partition config LDAP entry looks weird, the ads-partitionid attribute value in the RDN differs from the value of the attribute."	2.7 Problems in settings	"I'm not sure how the Kerberos configuration was incomplete. (I inherited this LDAP server from someone else.) I put the LDIF you had in your comment into a file and loaded it with ldapadd. That helped clear up the Error 0 issues.

Secondly, I changed via Apache Directory Studio the ad-partitionid attribute for the dn: ads-partitionId=edrn,ou=partitions,ads-directoryServiceId=default,ou=config entry in Apache Directory Studio"	2.2 Modifying my settings	
DIRSTUDIO-1142	ApacheDS Server from previous version will not start.	1. Crash	none	none	 I know that's not handy but there is no smooth upgrade path between milestone versions.	2.5 Borderline cases	"The only way to upgrade and to keep your data is to run the old version again, do an LDIF export, upgrade to the new version, create a new server, and reimport the data."	4.3 Switching to other techniques	
DIRSTUDIO-1113	Unable to connect to LDAP server through SSL 	2. Unexpected behavior	none	none	due to US export restrictions (at least as far as I understand) we are not allowed to release sofware that generates a stronger key. So you need generate and import a stronger key yourself	2.2 Incompatible issues	a workaround would be to delete all values from jdk.certpath.disabledAlgorithms in java.security.	3.8 Deep copying	https://directory.apache.org/apacheds/basic-ug/3.3-enabling-ssl.html
DIRKRB-615	Can not connect to TCP simplekdc server	2. Unexpected behavior	none	none	DIRKRB-629	1.1 Fixed by related issues	"It's the issue in client side, so I suggest you can use the Kerby kinit.

Confirmed tool-dist/bin/kinit.sh works."	4.3 Switching to other techniques	https://directory.apache.org/kerby/user-guide/2.4-simplekdcserver.html
DERBY-7043	"DROP SCHEMA schemaname RESTRICT results in:

    ERROR XSAI2: The conglomerate (1,024) requested does not exist."	2. Unexpected behavior	none	none	 Do not know how or when the c400.dat file was deleted from seg0 directory. 	4.3 Problems in languages	"Workaround:

1) Re-downloaded Derby version 10.8.2.2.

2) Created a new database

3) Restored c400.dat from that new database to my other Derby database."	2.3 Modifying build files or options	
CXF-8103	OpenApiFeature - cannot use useContextBasedConfig	2. Unexpected behavior	https://github.com/swagger-api/swagger-core/pull/3283	CLOSED	"It looks like the regression caused by recent Swagger versions, we'll be looking into it, but the workaround for now would be to downgrade it to 2.0.6 

Before 2.0.7 it was the case but since than the Swagger Core changed implementation from Reflections to ClassGraph, and now always scan the complete class path if resource classes and resource packages are empty. The classes from the Application instance are added on top and there is no way to tailor this behavior."	"3.1 Problems in my libraries
2.4 Recurring problems"	"Add the any package to OpenApiFeature, for example
feature.setResourceClasses(Collections.singleton(""*""));
In this case, the classes will be properly picked up from Application instances."	2.2 Modifying my settings	
CXF-7722	CXF Swagger2Feature does not show methods if context root is not empty.	2. Unexpected behavior	none	none	"This issue appears to be working correctly in CXF 3.2.5-SNAPSHOT, but it exists in CXF 3.1.16-SNAPSHOT. Is it an option to upgrade? CXF 3.1.x uses an older version of Swagger UI which might be causing the problem. "	"3.1 Problems in my libraries
1.2 Fixed by newer versions"	"is not an issue any more when I set ""scan"" property to ""false""."	2.2 Modifying my settings	
CXF-7685	"WSDL2java -compile fails when run with JDK-9, JDK-10, JDK-11"	3. Build and testing error	none	none	"Why isn't system property, ""org.apache.cxf.common.util.Compiler-fork""  allowed to be passed as an input arg to WSDLToJava?  And this property is not documented and should be."	3.2 Problems in my clients	"Why isn't system property, ""org.apache.cxf.common.util.Compiler-fork""  allowed to be passed as an input arg to WSDLToJava?  And this property is not documented and should be."	3.9 Modifying API calls	
CXF-7308	XML Signature verification has failed	2. Unexpected behavior	none	none	"I managed to find a Weblogic expert, who told me to add this flag on server startup:

-DuseSunHttpHandler=true

That change fixed the problem."	3.1 Problems in my libraries	"I managed to find a Weblogic expert, who told me to add this flag on server startup:

-DuseSunHttpHandler=true

That change fixed the problem."	3.4 Modifying the settings of libraries	
CXF-7127	"I do not see the ""Origin"" header on the server when the request gets there."	2. Unexpected behavior	none	none	You need to force it to use the HttpClient:	3.2 Problems in my clients	"1. Add a dependency to the cxf-rt-transports-http-hc module:

<dependency>
  <groupId>org.apache.cxf</groupId>
  <artifactId>cxf-rt-transports-http-hc</artifactId>
  <version>${cxf.version}</version>
</dependency>
2. Set the ""use.async.http.conduit"" property:"	"3.1 Switching to other libraries
3.4 Modifying the settings of libraries"	http://cxf.apache.org/docs/client-http-transport-including-ssl-support.html
CXF-6931	"we get the following error:
java.lang.ClassCastException"	1. Crash	none	none	Root cause was xmlsec jars had javax classes. We used the xmlsec-2.0.0 jars and it worked.	"3.1 Problems in my libraries
1.2 Fixed by newer versions"	We used the xmlsec-2.0.0 jars and it worked.	3.3 Switching to newer versions	
CXF-6747	"Starting with version 3, roundtrip wsdl -> Java -> wsdl produces output wsdl different from wsdl on input"	2. Unexpected behavior	none	none	This is due to a bug in JAXB: https://java.net/jira/browse/JAXB-986	3.1 Problems in my libraries	"We have a workaround via a custom JAXB plugin ""cxf-xjc-bug986"""	3.1 Switching to other libraries	
CXF-5773	"Request Validation failed for Request with SimpleType parts

Response is
<soap:Envelope xmlns:soap=""http://schemas.xmlsoap.org/soap/envelope/"">"	2. Unexpected behavior	none	none	This is not something we can fix as JAXB does not provide methods to be able to resolve this directly.	3.1 Problems in my libraries	"if you generated the object model from the schema using a jaxb binding file that forces the generation of types for the simple types (instead of mapping to String), then this works as JAXB has the information it needs.

<jaxws:bindings xmlns:jaxws=""http://java.sun.com/xml/ns/jaxws"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:jaxb=""http://java.sun.com/xml/ns/jaxb"" xmlns:wsdl=""http://schemas.xmlsoap.org/wsdl/"" wsdlLocation="""">
    <jaxws:bindings node=""wsdl:definitions/wsdl:types/xs:schema"">
<jaxb:globalBindings mapSimpleTypeDef=""true"">
</jaxb:globalBindings>
    </jaxws:bindings>
</jaxws:bindings>"	"4.3 Switching to other techniques
3.4 Modifying the settings of libraries"	https://cxf.apache.org/docs/jaxb.html
CTAKES-413	"org.apache.uima.tools.cvd.MainFrame.handleException(526): ????: An object of class org.apache.uima.resource.ResourceSpecifier was requested, but the XML input contained an object of class org.apache.uima.collection.impl.metadata.cpe.CpeDescriptionImpl."	1. Crash	none	none	"if you want to use a CPE descriptor like DrugNER_PlainText_CPE.xml, you would need to use runctakesCPE.bat rather than runctakesCVD.bat"	4.4 Incorrect techniques	"if you want to use a CPE descriptor like DrugNER_PlainText_CPE.xml, you would need to use runctakesCPE.bat rather than runctakesCVD.bat"	4.3 Switching to other techniques	
CTAKES-409	"While running a program to convert clinical note to snomed ct in multi threaded environment I got following exception.

org.apache.uima.analysis_engine.AnalysisEngineProcessException: Annotator processing failed."	2. Unexpected behavior	none	none	I have fixed this issue by modifying uimaj-core -> PrimitiveAnalysisEngine_impl.class -> callAnalysisComponentProcess() made thread safe. 	3.1 Problems in my libraries	"I have fixed this issue by modifying uimaj-core -> PrimitiveAnalysisEngine_impl.class -> callAnalysisComponentProcess() made thread safe.

Vighnesh posted workaround / fix in uima."	3.8 Deep copying	http://javadox.com/org.apache.uima/uimaj-core/2.6.0/org/apache/uima/analysis_engine/impl/PrimitiveAnalysisEngine_impl.html#callAnalysisComponentProcess(org.apache.uima.cas.CAS)
CTAKES-363	"This worked perfectly in v3.1.1 but now it is giving me an error :

'org.apache.uima.resource.ResourceInitializationException:Initialization
of CAS processor with name ""SimulatedProdAggregateTAE"" failed."	1. Crash	none	none	The 3.1.1 convenience binary incorrectly has a path with CH150124 in it.	3.2 Problems in my clients	"One workaround for 3.2.2 is as follows:
Copy the directory ctakes-smoking-status-res\src\main\resources\org from ctakes-smoking-status-res to under CTAKES_HOME\desc
so you have a directory CTAKES_HOME\desc\org
If you don't have a local copy of the source of ctakes-smoking-status-res, you can check out the needed directory from svn at
https://svn.apache.org/repos/asf/ctakes/tags/ctakes-3.2.2-rc2/ctakes-smoking-status-res/src/main/resources/org

Create CTAKES_HOME\desc\org\apache\ctakes\core
Copy the directory analysis_engine from within ctakes-core\desc to under CTAKES_HOME\desc\org\apache\ctakes\core
Again, if you don't have the source version of 3.2.2. you can check out the needed directory from svn from
https://svn.apache.org/repos/asf/ctakes/tags/ctakes-3.2.2-rc2/ctakes-core/desc/analysis_engine/"	2.4 Repairing as technical debts	
COMPRESS-471	Zipped files names having non UTF-8 encoding are being replaced with '?' while previewing file.	2. Unexpected behavior	none	none	"Unfortunately the ZIP format doesn't have a way of signalling the name encoding at all - which is not the complete truth, modern archiving libraries that use UTF-8 will indicate this by setting a flag and Commons Compress will use the flag to override the configured encoding, but not all archivers set this flag.

The main problem with your code is there is no way for an archive to say which encoding has been used when it has been created. getEncoding returns the encoding you specify as constructor argument - or in absence of such an argument it will always be UTF-8,"	2.1 Flawed repairs	"I would like library to set some flag when there are non-UTF8 characters in ZipFile means

or there could be some boolean value which tell whether non-utf8 characters are present in zip file or not.

I found below solution -"	3.6 Implementing wrappers	https://commons.apache.org/proper/commons-compress/apidocs/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.html#getRawName--
COMPRESS-449	 is.skip() and IOUtils.skip() are throwing an IOException somewhere somehow. 	1. Crash	none	none	"I think this might be a lower-level bug with my java-vm.

Unfortunately there is no way to tell whether a stream supports seek, and for some reason the wrapped FileInputStream feels like throwing an exception rather than returning 0 (which IOUtils.skip would handle)."	4.2 Problems in languages	"Rather we recommend you wrap System.in in something like https://github.com/apache/commons-compress/blob/master/src/main/java/org/apache/commons/compress/utils/SkipShieldingInputStream.java 

provide a custom InputStream for special skip problems"	3.6 Implementing wrappers	
CELIX-346	"celix-bootstrap problems

IndentationError: unindent does not match any outer indentation level"	1. Crash	none	none	Removing celix-boottstrap from develop branch. I expect the INAETICS CPF will replace this. 	1.1 Fixed by related issues	Removing celix-boottstrap from develop branch. I expect the INAETICS CPF will replace this. .	4.3 Switching to other techniques	
CB-13038	causing a delay in content rendering in the correct mode. 	6. Performance issue	none	none	Don't use Javascript for layout since you can't control the speed of the JS execution	4.4 Incorrect techniques	use CSS for style and layout. CSS media queries will always be faster than listening to events in Javascript. 	"4.3 Switching to other techniques
"	
CB-12688	XHR to local network with CSP ms-appx works on phone but not on PC (Windows 10 UWP)	2. Unexpected behavior	none	none	"This way the app would never pass the app store check, but at least I can make sure XHR has local access and it works immediately. So it cannot be some ""side effect"""	2.1 Flawed repairs	"<platform name=""windows"">
<config-file target=""package.appxmanifest"" parent=""/Package/Capabilities"">
<Capability Name=""privateNetworkClientServer"" />
</config-file>
</platform>

It works!!!"	3.4 Modifying the settings of libraries	https://cordova.apache.org/docs/en/5.1.1/guide/platforms/win8/win10-support.html
CB-12413	Unable to properly sign app with a trusted certificate	2. Unexpected behavior	none	none	This one isn't signed with a trusted certificate	2.7 Problems in settings	"I resolved it by removing the store association, doing a clean build and then reassociating the app with the store."	2.3 Modifying build files or options	
CB-12113	"Device plugin and crosswalk plugin, no deviceready event"	2. Unexpected behavior	none	none	I've found the problem. The 2.1.0 version of cordova-plugin-crosswalk-webview is broken	3.1 Problems in my libraries	As a quick workaround you can revert to cordova-android 5.2.2.	3.2 Switching to older versions	
CB-12078	"Project setup behind proxy no longer possible with android@6.0.0
"	3. Build and testing error	none	none	"I hate recommending this, because hooks make things more complex, and far harder to support"	2.1 Flawed repairs	What you may want to do is add a hook that adds the gradle.properties file instead with the proper information.	4.3 Switching to other techniques	https://cordova.apache.org/docs/en/latest/guide/appdev/hooks/
CB-12037	"wkwebview ignoring KeyboardDisplayRequiresUserAction = false

That allows programmatic setting of focus on inputs to show the keyboard."	5. Security threat	none	none	"This is because there is no equivalent, supported, setting for WKWebView. Apple hasn't provided one."	3.1 Problems in my libraries	"Apple hasn't provided one.

There is an alternative:
https://github.com/Telerik-Verified-Plugins/WKWebView/issues/184"	3.1 Switching to other libraries	
CB-12002	Support LSApplicationQueriesSchemes	2. Unexpected behavior	none	none	"LSApplicationQueriesSchemes is only needed for canOpenURL, but we use openURL "	2.1 Flawed repairs		2.4 Repairing as technical debts	
CB-11974	wkwebview LocalStorage Persistence For Existing Users	2. Unexpected behavior	none	none	I got tired of waiting for this issue to be addressed here so I built a companion plugin for handling LocalStorage data migration from UIWebView to WKWebView: https://github.com/maklesoft/cordova-plugin-migrate-localstorage	2.6 Outside contributors	I got tired of waiting for this issue to be addressed here so I built a companion plugin for handling LocalStorage data migration from UIWebView to WKWebView:	2.4 Repairing as technical debts	
CB-11449	We tap on the form field and it does not allow any inputs.	2. Unexpected behavior	CB-8049	CLOSED	"we downgrade to cordova 3.7.0 and use ""cordova-plugin-wkwebview"", it works as intended.

this is likely an Apple rendering issue in UIWebView"	"4.1 Problems in operating systems
2.4 Recurring problems"	"We've downgrade to cordova 3.7.0 and use ""cordova-plugin-wkwebview"", it works as intended."	"3.2 Switching to older versions
3.1 Switching to other libraries"	
CB-10950	In android application when the user tries for capturing images and select image from gallery app stop/restart.	1. Crash	none	none	This is a known problem that sometimes happens in low memory conditions. The Android OS will sometimes kill applications in the background to free up memory.	4.1 Problems in operating systems	"Unfortunately, there is no way to stop the OS from killing your app in the background on devices with low memory. Even in memory efficient apps it can still happen sometimes.

The best you can do from a Cordova app is to handle the lifecycle and restore your app's state when it occurs. The code in the guide I linked is meant to provide an example of how to do that.  "	3.9 Modifying API calls	https://cordova.apache.org/docs/en/9.x/guide/platforms/android/index.html#lifecycle-guide
CB-10939	 I can't not use things like navigator.camera.getPicture or navigator.notification.alert.	2. Unexpected behavior	none	none	"Short version:
add <allow-navigation href=""*"" /> to config.xml solved the problem."	2.7 Problems in settings	"Short version:
add <allow-navigation href=""*"" /> to config.xml solved the problem."	2.2 Modifying my settings	
CAY-2147	Error Generating DB Schema for postgresql database	7. Warning-style error 	none	none	"The problem is in schema camelCase naming as driver converts unquoted identifiers to lowercase.
However ""Quote SQL Identifiers"" checkbox in DataMap settings fixes this. When it's ""on"" this query is executed without error."	3.1 Problems in my libraries	"However ""Quote SQL Identifiers"" checkbox in DataMap settings fixes this. When it's ""on"" this query is executed without error."	3.4 Modifying the settings of libraries	
CASSANDRA-13212	" when I try to run an embedded Cassandra unit test, it always fails with the following error:

Exception (java.lang.NoClassDefFoundError) "	1. Crash	none	none	Configure SpringBoot and force it to use Log4J2 instead of attempting to autodetect the logging framework to use.	3.1 Problems in my libraries	Configure SpringBoot and force it to use Log4J2 instead of attempting to autodetect the logging framework to use.	3.4 Modifying the settings of libraries	
CAMEL-9463	Camel-guice OSGi dependency resolution fails	1. Crash	none	none	"Camel-guice feature file says it requires com.google.inject/guice/4.0. That bundle do not export com.google.inject.internal.* classes that are required by camel-guice bundle. 

It seems the bundle produced by Google with Maven-bundle-plugin exclude *.internal from being exported."	3.1 Problems in my libraries	"It seems that there is no equivalent ServiceMix version for guice-4

Using Guice 3.x on OSGi that works."	3.2 Switching to older versions	
CAMEL-9107	 Caused by: [org.apache.camel.RuntimeCamelException - Failed to extract body due to: Unable to load BODYSTRUCTURE	1. Crash	none	none	"so isn't all this finally a bug in javamail ?

Yes its in java mail that has a bug"	3.1 Problems in my libraries	 catch to ignore when attempting to check the email for attachments. But this would cause that you cannot get the attachments from those invalid emails.	3.7 Bypassing APIs with bugs	
CAMEL-13089	the service is not starting anymore.	1. Crash	none	none	Already reported this in https://issues.jboss.org/browse/THORN-2314 but they claim to not support Camel in Thorntail.	3.2 Problems in my clients	We are currently using org.apache.camel:camel-rabbitmq and org.apache.camel:camel-cdi instead.	3.1 Switching to other libraries	
CAMEL-12668	The problem here is when I stop the context the remaining aggregated exchanges are not being flushed to the processor. 	2. Unexpected behavior	none	none	"you can try to use shutdownRoute(Defer) option as workaround, but it doesn't solve a core problem. If it helps in your case I will close this issue and open a new one with the root case description."	2.1 Flawed repairs	"you can try to use shutdownRoute(Defer) option as workaround,"	3.9 Modifying API calls	
CAMEL-12367	"thread created by ServiceHelper.startService is never going to be killed, and since it's never going to be reused because we'll never have twice the same endpoint URI, eventually the application dies because of the rogue threads."	1. Crash	none	none	"I think we should create a new ticket about a new S3PollingConsumer (and potentially a few other in the camel-aws) as the AWS component is much in use, and could benefit from this. Implementing S3PollingConsumer is a bit ""more hard"" to do."	2.1 Flawed repairs	"You can set the cacheSize option to 0 or -1 to disable any cached consumers

The solution is to reduce the cache size as previously documented here"	3.4 Modifying the settings of libraries	
BROOKLYN-588	SoftwareProcess download with curl can fail on CentOS 7.0 (TLS negotiation)	3. Build and testing error	none	none	I think we're hitting https://bugzilla.redhat.com/show_bug.cgi?format=multiple&id=1170339	4.1 Problems in operating systems	the recommended workaround is to use a more recent version of CentOS. 	"4.1 Modifying operating systems
2.1 Modifying documents"	
BEAM-6460	" When the pipeline is restarted due to a failure, a new classloader is created which can result in too many classes being loaded."	2. Unexpected behavior	none	none	"Jackson Cache may hold on to Classloader after pipeline restart

Not a Beam issue. Flink leaks classloaders when libraries are loaded through the Flink root classloader which have static caches. "	3.1 Problems in my libraries	The subtlety of this issue warrants that we clear the Jackson cache to avoid other users running into this. 	"3.7 Bypassing APIs with bugs
"	
BEAM-6289	The timeout then results in a shutdown of the local executor.	1. Crash	none	none	The Cassandra source takes too long to generate the splits which is done at the JobManager when the Beam job is sent to the cluster. This lets the job submission time out because it does not receive the acknowledgement from the JobManager until the splits are done. The timeout then results in a shutdown of the local executor. 	3.1 Problems in my libraries	"Increase the Flink setting for the Akka timeout, i.e. akka.ask.timeout: 1 minute. You will have to set the environment variable FLINK_CONF_DIR with the directory containing the ""flink-conf.yaml"". "	3.4 Modifying the settings of libraries	
BEAM-3525	tests will be run locally incorrectly	2. Unexpected behavior	none	none	TestPipeline serializes PipelineOptions prematurely	3.2 Problems in my clients	Solution: Remove JsonIgnore annotation from runner configuration options.	2.2 Modifying my settings	
BEAM-2268	NullPointerException in com.datatorrent.netlet.util.Slice via ApexStateInternals	1. Crash	none	none	this is a certain NPE in netlet 1.2.1 but our dependencies are on 1.3.0.	2.7 Problems in settings	Please remove the netlet dependency from your local maven repo	2.2 Modifying my settings	
BEAM-1048	Spark Runner streaming batch duration does not include duration of reading from source	2. Unexpected behavior	none	none	"This is not a bullet proof solution, as technically there is no guarantee that at a given point in time, the read duration and process delay metrics actually refer to the same batch id"	2.1 Flawed repairs	"This is not a bullet proof solution, as technically there is no guarantee that at a given point in time, the read duration and process delay metrics actually refer to the same batch id"	2.4 Repairing as technical debts	
